n_train_data.name	class	sid	corpus_id	gender	acted	arousal	valence	featfile
/home/jkim/Corpus/recola_wav/P16_3.wav	3	16	7	0	0	0.409717275	-0.892668476	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_3.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_3/
/home/jkim/Corpus/recola_wav/P16_4.wav	3	16	7	0	0	0.48906193	-0.704851699	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_4.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_4/
/home/jkim/Corpus/recola_wav/P16_9.wav	0	16	7	0	0	0.341763078	0.040454022	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_9.wav.csv	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/P16_9/
/home/jkim/Corpus/recola_wav/P16_11.wav	1	16	7	0	0	0.601780415	0.946530789	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_11.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_11/
/home/jkim/Corpus/recola_wav/P16_12.wav	1	16	7	0	0	0.529480998	0.952129405	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_12.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_12/
/home/jkim/Corpus/recola_wav/P16_14.wav	2	16	7	0	0	-0.173874919	-0.835792613	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_14.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_14/
/home/jkim/Corpus/recola_wav/P16_18.wav	0	16	7	0	0	0.588692638	-0.091299041	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_18.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_18/
/home/jkim/Corpus/recola_wav/P16_19.wav	1	16	7	0	0	0.680945511	1	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_19.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_19/
/home/jkim/Corpus/recola_wav/P16_24.wav	3	16	7	0	0	1	-0.105917394	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_24.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_24/
/home/jkim/Corpus/recola_wav/P16_25.wav	0	16	7	0	0	0.301042706	-0.197289261	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_25.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_25/
/home/jkim/Corpus/recola_wav/P16_26.wav	3	16	7	0	0	0.631274	-0.143722154	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_26.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_26/
/home/jkim/Corpus/recola_wav/P16_27.wav	3	16	7	0	0	0.728273789	-0.169533702	/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/feature/csv/LLD/FEAT/LSPEC//P16_27.wav.csv	P/home/jkim/Workspace/Workspace_surf/Exp/feature_ext/images/16_27/
